look_back_window;forecast_window;layers;units;dropout_rate;Precision;Accuracy;F1;PredictiveScore;Replications;BuyThreshold
30;1;8;128;0.3;1.0;0.8667;0.2;0.9273;1;1.01
14;3;8;256;0.1;1.0;0.9;0.25;0.9464;1;1.01
14;1;2;128;0.3;0.2;0.75;0.2105;0.3245;1;1.01
14;1;2;128;0.1;0.2;0.65;0.2759;0.3256;1;1.01
90;1;4;256;0.3;0.2;0.8;0.1429;0.3241;1;1.01
5;1;4;256;0.3;0.2;0.8;0.1429;0.3241;1;1.01
5;1;8;256;0.3;0.1923;0.5833;0.2857;0.3158;1;1.01
5;1;4;128;0.3;0.1852;0.5667;0.2778;0.3059;1;1.01
90;1;8;256;0.3;0.1818;0.7333;0.2;0.3;1;1.01
90;1;2;256;0.1;0.1765;0.6667;0.2308;0.2929;1;1.01
90;1;2;256;0.3;0.1667;0.7833;0.1333;0.2788;1;1.01
5;1;4;128;0.1;0.1636;0.2333;0.2812;0.2812;1;1.01
30;1;4;256;0.1;0.1562;0.4833;0.2439;0.2643;1;1.01
14;1;4;128;0.1;0.1562;0.4833;0.2439;0.2643;1;1.01
30;1;4;128;0.3;0.1538;0.7;0.1818;0.2606;1;1.01
5;1;8;128;0.1;0.15;0.15;0.2609;0.0;1;1.01
14;1;8;256;0.1;0.15;0.15;0.2609;0.0;1;1.01
90;1;8;128;0.3;0.15;0.15;0.2609;0.0;1;1.01
14;1;8;256;0.3;0.15;0.15;0.2609;0.0;1;1.01
5;1;4;256;0.1;0.1429;0.7667;0.125;0.2446;1;1.01
5;1;8;128;0.3;0.1429;0.6833;0.1739;0.2445;1;1.01
5;3;2;256;0.1;0.125;0.7833;0.1333;0.219;1;1.01
90;1;8;128;0.1;0.1176;0.6333;0.1538;0.2063;1;1.01
90;3;8;128;0.1;0.1167;0.1167;0.209;0.0;1;1.01
30;3;8;128;0.1;0.1167;0.1167;0.209;0.0;1;1.01
5;3;8;128;0.1;0.1167;0.1167;0.209;0.0;1;1.01
90;3;8;128;0.3;0.1167;0.1167;0.209;0.0;1;1.01
14;3;2;256;0.1;0.0769;0.7;0.1;0.1414;1;1.01
14;7;2;256;0.1;0.0714;0.7833;0.1333;0.1333;1;1.01
5;7;4;256;0.3;0.0;0.9333;0.0;0.0;1;1.01
30;3;4;256;0.3;0.0;0.85;0.0;0.0;1;1.01
90;3;4;256;0.1;0.0;0.8667;0.0;0.0;1;1.01
5;7;2;256;0.1;0.0;0.9167;0.0;0.0;1;1.01
30;7;2;128;0.3;0.0;0.7333;0.0;0.0;1;1.01
30;7;2;256;0.3;0.0;0.8667;0.0;0.0;1;1.01
90;7;2;128;0.3;0.0;0.8;0.0;0.0;1;1.01
14;7;4;256;0.3;0.0;0.8167;0.0;0.0;1;1.01
14;3;2;128;0.1;0.0;0.7333;0.0;0.0;1;1.01
5;7;8;256;0.3;0.0;0.9833;0.0;0.0;1;1.01
14;7;2;128;0.1;0.0;0.9167;0.0;0.0;1;1.01
30;3;2;128;0.1;0.0;0.8833;0.0;0.0;1;1.01
5;3;8;256;0.1;0.0;0.8833;0.0;0.0;1;1.01
14;1;2;256;0.1;0.0;0.85;0.0;0.0;1;1.01
14;7;2;256;0.3;0.0;0.95;0.0;0.0;1;1.01
90;1;4;128;0.1;0.0;0.85;0.0;0.0;1;1.01
5;3;8;256;0.3;0.0;0.8667;0.0;0.0;1;1.01
90;7;2;256;0.3;0.0;0.9167;0.0;0.0;1;1.01
14;1;8;128;0.1;0.0;0.85;0.0;0.0;1;1.01
14;1;4;128;0.3;0.0;0.85;0.0;0.0;1;1.01
5;7;4;256;0.1;0.0;0.9333;0.0;0.0;1;1.01
14;3;4;256;0.3;0.0;0.7333;0.0;0.0;1;1.01
14;3;8;256;0.3;0.0;0.8833;0.0;0.0;1;1.01
30;1;4;256;0.3;0.0;0.85;0.0;0.0;1;1.01
90;3;8;256;0.1;0.0;0.8833;0.0;0.0;1;1.01
14;1;2;256;0.3;0.0;0.85;0.0;0.0;1;1.01
5;7;4;128;0.1;0.0;0.95;0.0;0.0;1;1.01
90;7;4;256;0.3;0.0;0.7833;0.0;0.0;1;1.01
90;3;8;256;0.3;0.0;0.8833;0.0;0.0;1;1.01
30;3;4;128;0.3;0.0;0.8833;0.0;0.0;1;1.01
5;7;2;256;0.3;0.0;0.9667;0.0;0.0;1;1.01
90;1;2;128;0.3;0.0;0.85;0.0;0.0;1;1.01
14;7;8;256;0.3;0.0;0.55;0.0;0.0;1;1.01
14;3;4;128;0.3;0.0;0.8;0.0;0.0;1;1.01
14;7;8;128;0.3;0.0;0.9833;0.0;0.0;1;1.01
30;1;8;128;0.1;0.0;0.85;0.0;0.0;1;1.01
5;3;8;128;0.3;0.0;0.75;0.0;0.0;1;1.01
90;7;4;256;0.1;0.0;0.95;0.0;0.0;1;1.01
90;7;8;128;0.1;0.0;0.9833;0.0;0.0;1;1.01
14;3;2;256;0.3;0.0;0.8833;0.0;0.0;1;1.01
30;7;8;256;0.1;0.0;0.6333;0.0;0.0;1;1.01
30;7;4;128;0.3;0.0;0.6833;0.0;0.0;1;1.01
5;3;4;256;0.3;0.0;0.85;0.0;0.0;1;1.01
5;7;4;128;0.3;0.0;0.9833;0.0;0.0;1;1.01
14;3;2;128;0.3;0.0;0.8333;0.0;0.0;1;1.01
30;1;2;256;0.1;0.0;0.8;0.0;0.0;1;1.01
30;1;2;128;0.3;0.0;0.85;0.0;0.0;1;1.01
5;3;4;128;0.1;0.0;0.8833;0.0;0.0;1;1.01
14;1;4;256;0.3;0.0;0.8;0.0;0.0;1;1.01
30;7;8;256;0.3;0.0;0.9833;0.0;0.0;1;1.01
5;7;8;256;0.1;0.0;0.95;0.0;0.0;1;1.01
5;1;2;128;0.1;0.0;0.8;0.0;0.0;1;1.01
90;7;8;256;0.1;0.0;0.5833;0.0;0.0;1;1.01
90;3;2;128;0.3;0.0;0.8833;0.0;0.0;1;1.01
30;3;2;256;0.1;0.0;0.8833;0.0;0.0;1;1.01
90;7;8;256;0.3;0.0;0.9833;0.0;0.0;1;1.01
5;3;4;128;0.3;0.0;0.8833;0.0;0.0;1;1.01
14;7;2;128;0.3;0.0;0.9833;0.0;0.0;1;1.01
90;3;4;128;0.3;0.0;0.8167;0.0;0.0;1;1.01
5;1;2;128;0.3;0.0;0.8167;0.0;0.0;1;1.01
5;7;2;128;0.1;0.0;0.9333;0.0;0.0;1;1.01
90;1;8;256;0.1;0.0;0.85;0.0;0.0;1;1.01
30;1;8;256;0.1;0.0;0.85;0.0;0.0;1;1.01
90;3;2;256;0.3;0.0;0.8333;0.0;0.0;1;1.01
14;3;8;128;0.3;0.0;0.8833;0.0;0.0;1;1.01
90;7;2;256;0.1;0.0;0.8;0.0;0.0;1;1.01
30;7;4;256;0.1;0.0;0.7833;0.0;0.0;1;1.01
90;3;4;128;0.1;0.0;0.7167;0.0;0.0;1;1.01
30;7;8;128;0.3;0.0;0.9833;0.0;0.0;1;1.01
90;7;8;128;0.3;0.0;0.9833;0.0;0.0;1;1.01
30;7;4;128;0.1;0.0;0.65;0.0;0.0;1;1.01
14;7;4;128;0.1;0.0;0.9333;0.0;0.0;1;1.01
14;7;8;128;0.1;0.0;0.9833;0.0;0.0;1;1.01
90;7;4;128;0.3;0.0;0.9;0.0;0.0;1;1.01
30;3;8;256;0.1;0.0;0.6667;0.0;0.0;1;1.01
30;7;4;256;0.3;0.0;0.7;0.0;0.0;1;1.01
14;7;8;256;0.1;0.0;0.9833;0.0;0.0;1;1.01
5;7;8;128;0.3;0.0;0.95;0.0;0.0;1;1.01
14;7;4;256;0.1;0.0;0.9833;0.0;0.0;1;1.01
30;7;2;128;0.1;0.0;0.6667;0.0;0.0;1;1.01
14;1;4;256;0.1;0.0;0.85;0.0;0.0;1;1.01
5;1;2;256;0.3;0.0;0.7833;0.0;0.0;1;1.01
30;1;8;256;0.3;0.0;0.85;0.0;0.0;1;1.01
30;1;2;256;0.3;0.0;0.85;0.0;0.0;1;1.01
5;3;2;128;0.3;0.0;0.75;0.0;0.0;1;1.01
30;3;2;128;0.3;0.0;0.8;0.0;0.0;1;1.01
5;1;2;256;0.1;0.0;0.85;0.0;0.0;1;1.01
14;3;4;256;0.1;0.0;0.65;0.0;0.0;1;1.01
90;7;4;128;0.1;0.0;0.85;0.0;0.0;1;1.01
90;3;4;256;0.3;0.0;0.7833;0.0;0.0;1;1.01
30;7;2;256;0.1;0.0;0.9167;0.0;0.0;1;1.01
